COLUMN_1,COLUMN_2,COLUMN_3,COLUMN_4
19,2.74,50,B
10,2.53,52,A
53,4.28,46,B
76,3.99,13,B
75,5.54,4,B
77,8.72,64,B
61,7.71,99,C
49,5.49,98,C
64,6.93,31,B
31,5.56,38,A
95,4.0,61,A
65,5.21,83,C
20,2.26,0,C
77,4.48,19,A
34,5.86,29,C
48,2.93,68,A
18,8.22,5,C
31,8.83,79,A
38,6.13,30,C
68,3.12,21,B
66,4.25,75,A
98,6.42,57,B
72,2.36,88,A
97,4.67,63,C
58,4.98,59,A
88,8.52,83,A
80,4.9,80,B
51,6.76,22,C
82,2.29,51,A
61,8.35,60,C
72,3.74,50,C
31,6.14,40,B
47,9.48,70,C
71,8.83,66,A
87,2.09,86,C
69,5.95,58,B
90,8.66,49,C
24,6.74,62,B
79,5.93,18,A
80,8.42,39,A
80,5.78,77,C
85,6.29,35,B
95,4.75,38,B
33,8.53,55,B
89,4.36,13,A
11,6.79,83,A
99,6.97,6,A
80,8.68,45,B
86,2.43,60,A
16,6.69,14,A
