id,price,quantity,object_type
6021,383.14,14,eraser
2312,386.93,78,book
325,60.45,1,pen
1377,975.97,71,pen
2417,840.18,71,eraser
5482,368.56,57,eraser
8166,381.09,96,eraser
3598,879.65,68,pen
2954,285.99,93,eraser
1229,575.31,73,eraser
7246,46.34,99,eraser
6677,672.98,77,pen
9097,910.51,73,pen
4781,528.68,67,eraser
6217,207.46,92,pen
7257,300.76,97,book
4434,981.35,34,eraser
9599,921.41,42,eraser
3742,631.76,87,book
8318,281.54,95,eraser
9525,61.39,89,book
2875,973.15,24,eraser
9924,363.6,64,pen
2741,277.09,80,pen
8733,76.65,79,book
1008,771.66,49,pen
9619,286.07,87,eraser
9145,608.39,87,pen
7572,952.85,49,pen
6929,300.54,86,book
8175,601.12,83,pen
294,294.22,92,eraser
7915,228.91,72,eraser
5744,365.19,74,book
3682,522.49,22,book
6802,221.21,72,pen
9412,120.96,82,eraser
790,593.6,74,eraser
1988,992.78,55,pen
1262,267.72,70,eraser
3264,540.13,74,book
7957,897.35,68,pen
1822,349.72,62,pen
8825,572.17,44,eraser
9069,934.39,86,eraser
7905,254.92,77,eraser
5813,350.85,1,book
6391,45.3,80,pen
3506,574.79,63,eraser
2709,467.92,11,book
